stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
11069,51938,WB NW MARINE DR FS TOLMIE ST,NW MARINE DR @ TOLMIE ST,49.275093,-123.212054,ZN 99, ,0,
7422,57349,WB 1A AVE FS 67 ST,1A AVE @ 67 ST,49.004799,-123.039206,ZN 99, ,0,
7423,57350,NB 66A ST AT 200 BLOCK,66A ST @ 200 BLOCK,49.006098,-123.040021,ZN 99, ,0,
7424,57351,NB 66A ST NS 3 AVE,66A ST @ 3 AVE,49.008147,-123.039987,ZN 99, ,0,
7425,57352,WB 3 AVE AT 6500 BLOCK,3 AVE @ 6500 BLOCK,49.008502,-123.043145,ZN 99, ,0,
7426,57353,NB BOUNDARY BAY RD FS 3 AVE,BOUNDARY BAY RD @ 3 AVE,49.009640,-123.046439,ZN 99, ,0,
7427,57354,NB BOUNDARY BAY RD AT 500 BLOCK,BOUNDARY BAY RD @ 500 BLOCK,49.013686,-123.050017,ZN 99, ,0,
7428,57355,NB BOUNDARY BAY RD FS IRONWOOD PL,BOUNDARY BAY RD @ IRONWOOD PL,49.018276,-123.057173,ZN 99, ,0,
7429,57356,WB 12 AVE FS MORRIS CRES,12 AVE @ MORRIS CRES,49.024687,-123.060480,ZN 99, ,0,
7430,57357,WB 12 AVE FS JACKSON WAY,12 AVE @ JACKSON WAY,49.024728,-123.063423,ZN 99, ,0,
7431,57358,WB 12 AVE FS HUNTER RD,12 AVE @ HUNTER RD,49.024752,-123.066993,ZN 99, ,0,
7493,57420,EB 12 AVE FS 56 ST,12 AVE @ 56 ST,49.024609,-123.067610,ZN 99, ,0,
7494,57421,EB 12 AVE FS JACKSON WAY,12 AVE @ JACKSON WAY,49.024574,-123.062595,ZN 99, ,0,
7495,57422,EB 12 AVE NS MORRIS CRES,12 AVE @ MORRIS CRES,49.024550,-123.060452,ZN 99, ,0,
7496,57423,SB BOUNDARY BAY RD FS IRONWOOD PL,BOUNDARY BAY RD @ IRONWOOD PL,49.017638,-123.056876,ZN 99, ,0,
7497,57424,SB BOUNDARY BAY RD AT 500 BLOCK,BOUNDARY BAY RD @ 500 BLOCK,49.014469,-123.051750,ZN 99, ,0,
7498,57425,EB 3 AVE FS BOUNDARY BAY RD,3 AVE @ BOUNDARY BAY RD,49.008386,-123.045889,ZN 99, ,0,
7499,57426,EB 3 AVE NS 66A ST,3 AVE @ 66A ST,49.008360,-123.040471,ZN 99, ,0,
7500,57427,SB 67 ST FS 3 AVE,67 ST @ 3 AVE,49.007685,-123.039011,ZN 99, ,0,
11729,61666,EB 3 AVE AT 6500 BLOCK,3 AVE @ 6500 BLOCK,49.008384,-123.042862,ZN 99, ,0,
6336,56276,WB COLUMBIA AVE AT 15500 BLOCK,COLUMBIA AVE @ 15500 BLOCK,49.019309,-122.792996,ZN 99, ,0,
6337,56277,WB COLUMBIA AVE AT 15300 BLOCK,COLUMBIA AVE @ 15300 BLOCK,49.020515,-122.796817,ZN 99, ,0,
6338,56278,NB CENTRE ST FS ROYAL AVE,CENTRE ST @ ROYAL AVE,49.022128,-122.797538,ZN 99, ,0,
6339,56279,NB JOHNSTON RD FS PACIFIC AVE,JOHNSTON RD @ PACIFIC AVE,49.024201,-122.801064,ZN 99, ,0,
6173,56115,NB JOHNSTON RD FS RUSSELL AVE,JOHNSTON RD @ RUSSELL AVE,49.029972,-122.801045,ZN 99, ,0,
6172,56114,NB JOHNSTON RD FS THRIFT AVE,JOHNSTON RD @ THRIFT AVE,49.027923,-122.800982,ZN 99, ,0,
6298,56238,EB MARINE DR NS MARTIN ST,MARINE DR @ MARTIN ST,49.021809,-122.807476,ZN 99, ,0,
5436,55383,WHITE ROCK CENTRE BAY 7,WHITE ROCK CENTRE @ BAY 7,49.032785,-122.801052,ZN 99, ,0,
6299,56239,EB MARINE DR AT 15000 BLOCK,MARINE DR @ 15000 BLOCK,49.020745,-122.803855,ZN 99, ,0,
6300,56240,EB MARINE DR AT FIR ST,MARINE DR @ FIR ST,49.019905,-122.800901,ZN 99, ,0,
6301,56241,EB MARINE DR NS DOLPHIN ST,MARINE DR @ DOLPHIN ST,49.019036,-122.798086,ZN 99, ,0,
6302,56242,EB MARINE DR AT BALSAM ST,MARINE DR @ BALSAM ST,49.017816,-122.794239,ZN 99, ,0,
6303,56243,EB MARINE DR FS FINLAY ST,MARINE DR @ FINLAY ST,49.016529,-122.789729,ZN 99, ,0,
